Created Date,Closed Date,Borough,Descriptor,Complaint Type,Agency,Longitude,Latitude,Status,processing_time,start_time_window
01/01/2016 12:30:14 AM,01/01/2016 02:46:41 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.79020601438833,40.71007884590344,Closed,0 days 02:16:27.000000000,0
01/01/2016 12:30:26 AM,01/01/2016 01:50:23 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.94716903968074,40.709154499991314,Closed,0 days 01:19:57.000000000,0
01/01/2016 12:30:42 AM,01/01/2016 01:22:16 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.89408890670363,40.65030285829364,Closed,0 days 00:51:34.000000000,0
01/01/2016 12:31:02 AM,01/01/2016 01:16:31 AM,BRONX,Double Parked Blocking Vehicle,Illegal Parking,NYPD,-73.9027185612542,40.829191475227375,Closed,0 days 00:45:29.000000000,0
01/01/2016 12:31:06 AM,01/01/2016 01:50:17 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.99082377828906,40.76263130254668,Closed,0 days 01:19:11.000000000,0
01/01/2016 12:31:14 AM,01/06/2016 01:07:05 PM,BROOKLYN,Cave-in,Street Condition,DOT,-73.99512182977598,40.632134378632045,Closed,5 days 12:35:51.000000000,0
01/01/2016 12:31:24 AM,01/01/2016 02:19:07 AM,BRONX,Loud Music/Party,Noise - Commercial,NYPD,-73.83458731019586,40.8377075854206,Closed,0 days 01:47:43.000000000,0
01/01/2016 12:31:26 AM,01/02/2016 10:04:19 AM,BROOKLYN,ENTIRE BUILDING,HEAT/HOT WATER,HPD,-74.00974364126687,40.64385979749979,Closed,1 days 09:32:53.000000000,0
01/01/2016 12:31:33 AM,01/01/2016 02:41:50 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.95921588689447,40.73332151143353,Closed,0 days 02:10:17.000000000,0
01/01/2016 12:32:00 AM,01/01/2016 01:30:00 AM,QUEENS,Controller,Traffic Signal Condition,DOT,-73.94530455416789,40.73955182413889,Closed,0 days 00:58:00.000000000,0
01/01/2016 12:32:18 AM,01/01/2016 02:33:58 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.93146045215875,40.68842596829053,Closed,0 days 02:01:40.000000000,0
01/01/2016 12:32:21 AM,,BRONX,Smoking Violation,Smoking,DOHMH,-73.89938613893433,40.85840604170503,Pending,,0
